overview,title
after receiving an unexpected call from her wayfinding ancestors moana journeys alongside maui and a new crew to the far seas of oceania and into dangerous longlost waters for an adventure unlike anything shes ever faced,moana 2
a heroic true story of major mukund varadarajan an indian army officer who displayed extraordinary bravery during a counterterrorism mission in kashmirs shopian district the film captures his courage in protecting his nation and the devotion of his wife indhu rebecaa varghese,amaran
sonic knuckles and tails reunite against a powerful new adversary shadow a mysterious villain with powers unlike anything they have faced before with their abilities outmatched in every way team sonic must seek out an unlikely alliance in hopes of stopping shadow and protecting the planet,sonic the hedgehog 3
after meeting with newly elected us president thaddeus ross sam finds himself in the middle of an international incident he must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red,captain america brave new world
international action star jackie chan is invited to the adoption ceremony of a rare baby panda but after an international crime syndicate attempts to kidnap the bear jackie has to save the bear using his stunt work skills,panda plan
kraven kravinoffs complex relationship with his ruthless gangster father nikolai starts him down a path of vengeance with brutal consequences motivating him to become not only the greatest hunter in the world but also one of its most feared,kraven the hunter
when his brother is killed lapd officer mark leaves the city to return to the island he grew up on seeking answers and ultimately vengeance he soon finds himself in a bloody battle with the corrupt tycoon whos taken over the island paradise,the island
two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset joe and lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies known as alarum,alarum
to stop an arms dealer from unleashing a deadly superweapon ace sniper brandon beckett and agent zero are deployed to costa verde to lead a group of elite soldiers against an unrelenting militia taking an untested sniper under his wing beckett faces his newest challenge giving orders instead of receiving them with both time and ammo running low in a race to save humanity the team must overcome all odds just to survive,sniper the last stand
with his marriage fraying blake persuades his wife charlotte to take a break from the city and visit his remote childhood home in rural oregon as they arrive at the farmhouse in the dead of night theyre attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter but as the night stretches on blake begins to behave strangely transforming into something unrecognizable,wolf man
mufasa a cub lost and alone meets a sympathetic lion named taka the heir to a royal bloodline the chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny,mufasa the lion king
years after witnessing the death of the revered hero maximus at the hands of his uncle lucius is forced to enter the colosseum after his home is conquered by the tyrannical emperors who now lead rome with an iron fist with rage in his heart and the future of the empire at stake lucius must look to his past to find strength and honor to return the glory of rome to its people,gladiator ii
eddie and venom are on the run hunted by both of their worlds and with the net closing in the duo are forced into a devastating decision that will bring the curtains down on venom and eddies last dance,venom the last dance
fifteen years after vanishing from the cia to start a family elite spies matt and emily jump back into the world of espionage when their cover is blown,back in action
three years after his sisters death yak relentlessly searches for the dark spirit that killed her in hopes of seeking revenge,death whisperer 2
devara a fearless man from a coastal region embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people unbeknownst to him his brother bhaira is plotting a conspiracy against him as events unfold devara passes on his legacy to his mildmannered and timid son varada,devara part 1
a gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her causing untold horror in its wake,nosferatu
emperor philippa georgiou joins a secret division of starfleet tasked with protecting the united federation of planets and faces the sins of her past,star trek section 31
a year after a supermoons light activated a dormant gene transforming humans into bloodthirsty werewolves and causing nearly a billion deaths the nightmare resurfaces as the supermoon rises again two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes,werewolves
after the death of his son javier hopes that restoring his familys abandoned ranch will allow him and his wife mariana who attempted suicide a new beginning but his grandmother refuses,jugaremos en el bosque
a single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy,elevation
on kates 21st birthday camping trip her friends encounter piglet a monstrous humanpig hybrid who brutally murders one of them they uncover piglets origins and kate must confront her past to survive the relentless killer,piglet
18yearold noah moves from america to london with her mother whos recently fallen in love with william a wealthy british businessman noah meets williams son badboy nick and soon discovers there is an attraction between them neither can avoid as noah spends the summer adjusting to her new life her devastating past will catch up with her while falling in love for the first time,my fault london
a fading celebrity decides to use a black market drug a cellreplicating substance that temporarily creates a younger better version of herself,the substance
every year the prime minister has a list of all kinds of troublemakers eliminated in the name of the famous reason of state serge shuster special adviser to the president of the republic finds himself on this list better known as the matignon list  condemned to certain death and at the heart of an implacable plot and a state secret that also put his family in danger serge his wife and children have only one hope left  their gardener léo who hates it when  slugs  invade his garden especially those that want to kill innocent families,the gardener
over a decade after gates connecting worlds appeared awakening hunters with superpowers weakest hunter sung jinwoo encounters a double dungeon and accepts a mysterious quest becoming the only one able to level up changing his fate a catchup recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience,solo leveling reawakening
noah must leave her city boyfriend and friends to move into william leisters mansion the flashy and wealthy husband of her mother rafaela as a proud and independent 17 year old noah resists living in a mansion surrounded by luxury however it is there where she meets nick her new stepbrother and the clash of their strong personalities becomes evident from the very beginning,my fault
a returning war veteran stricken with ptsd gets trapped with his teenage sister on bostons tobin memorial bridge when a heavily armed group of exmilitary revolutionaries take everyone hostage,aftermath
bridget jones finally has some luck in her life she has a great job as a screenwriter her family and a new boyfriend the fact that hes over twenty years her junior isnt the only thing causing problems,bridget jones mad about the boy
after santa claus codename red one is kidnapped the north poles head of security must team up with the worlds most infamous tracker in a globetrotting actionpacked mission to save christmas,red one
a sudden attack by wulf a clever and traitorous lord of rohan seeking vengeance for the death of his father forces helm hammerhand the king of rohan and his people to make a daring last stand in the ancient stronghold of the hornburg,the lord of the rings the war of the rohirrim
a listless wade wilson toils away in civilian life with his days as the morally flexible mercenary deadpool behind him but when his homeworld faces an existential threat wade must reluctantly suitup again with an even more reluctant wolverine,deadpool  wolverine
after a shipwreck an intelligent robot called roz is stranded on an uninhabited island to survive the harsh environment roz bonds with the islands animals and cares for an orphaned baby goose,the wild robot
an aging exboxer gangster working as muscle for a boston crime boss receives an upsetting diagnosis  despite a faltering memory he attempts to rectify the sins of his past and reconnect with his estranged children he is determined to leave a positive legacy for his grandson but the criminal underworld isnt done with him and wont loosen their grip willingly,absolution
on the brink of the second world war a young norwegian mans drive to resist the nazis sets a new course for his future  and the future of his country,number 24
basque country spain late nineties a young policewoman manages to infiltrate the ruthless terrorist gang eta,undercover
